name,profile_link
Mo Abdallah,https://ecs.syracuse.edu/faculty-staff/mo-abdallah
Riyad S. Aboutaha,https://ecs.syracuse.edu/faculty-staff/riyad-s-aboutaha
Jeongmin Ahn,https://ecs.syracuse.edu/faculty-staff/jeongmin-ahn
Ben Akih-Kumgeh,https://ecs.syracuse.edu/faculty-staff/ben-akih-kumgeh
Jackie Anderson,https://ecs.syracuse.edu/faculty-staff/jackie-anderson
Michael Blatchley,https://ecs.syracuse.edu/faculty-staff/michael-blatchley
Michelle M. Blum,https://ecs.syracuse.edu/faculty-staff/michelle-m-blum
Ed Bogucz,https://ecs.syracuse.edu/faculty-staff/ed-bogucz
Jesse Q. Bond,https://ecs.syracuse.edu/faculty-staff/jesse-q-bond
Mary Beth Browning Monroe,https://ecs.syracuse.edu/faculty-staff/mary-beth-browning-monroe
Katie Cadwell,https://ecs.syracuse.edu/faculty-staff/katie-cadwell
Yue Cao,https://ecs.syracuse.edu/faculty-staff/yue-cao
Elizabeth Carter,https://ecs.syracuse.edu/faculty-staff/elizabeth-carter
C.Y. Roger Chen,https://ecs.syracuse.edu/faculty-staff/c-y-roger-chen
Ruth Chen,https://ecs.syracuse.edu/faculty-staff/ruth-chen
Biao Chen,https://ecs.syracuse.edu/faculty-staff/biao-chen
Andria Costello Staniec,https://ecs.syracuse.edu/faculty-staff/andria-costello-staniec
John F. Dannenhoffer III,https://ecs.syracuse.edu/faculty-staff/john-f-dannenhoffer-iii
Gabriel Silva De Oliveira,https://ecs.syracuse.edu/faculty-staff/gabriel-silva-de-oliveira
Alexander Deyhim,https://ecs.syracuse.edu/faculty-staff/alexander-deyhim
Bing Dong,https://ecs.syracuse.edu/faculty-staff/bing-dong
Charles T. Driscoll,https://ecs.syracuse.edu/faculty-staff/charles-t-driscoll
Victor Duenas,https://ecs.syracuse.edu/faculty-staff/victor-duenas
Sara Eftekharnejad,https://ecs.syracuse.edu/faculty-staff/sara-eftekharnejad
Ehat Ercanli,https://ecs.syracuse.edu/faculty-staff/ehat-ercanli
Matthew Erdman,https://ecs.syracuse.edu/faculty-staff/matthew-erdman
Makan Fardad,https://ecs.syracuse.edu/faculty-staff/makan-fardad
Zhenyu Gan,https://ecs.syracuse.edu/faculty-staff/zhenyu-gan
Venkata S.S. Gandikota,https://ecs.syracuse.edu/faculty-staff/venkata-s-s-gandikota
Natarajan Gautam,https://ecs.syracuse.edu/faculty-staff/natarajan-gautam
Nadeem Ghani,https://ecs.syracuse.edu/faculty-staff/nadeem-ghani
Prasanta K. Ghosh,https://ecs.syracuse.edu/faculty-staff/prasanta-k-ghosh
Jennifer W. Graham,https://ecs.syracuse.edu/faculty-staff/jennifer-w-graham
M. Cenk Gursoy,https://ecs.syracuse.edu/faculty-staff/mustafa-cenk-gursoy
Moamer (Mo) Hasanovic,https://ecs.syracuse.edu/faculty-staff/moamer-mo-hasanovic
James (Jay) Henderson,https://ecs.syracuse.edu/faculty-staff/james-h-henderson
Endadul Hoque,https://ecs.syracuse.edu/faculty-staff/endadul-hoque
Ian D. Hosein,https://ecs.syracuse.edu/faculty-staff/ian-d-hosein
Can Isik,https://ecs.syracuse.edu/faculty-staff/can-isik
Era Jain,https://ecs.syracuse.edu/faculty-staff/era-jain
Pankaj K. Jha,https://ecs.syracuse.edu/faculty-staff/pankaj-k-jha
Chris E. Johnson,https://ecs.syracuse.edu/faculty-staff/chris-e-johnson
Alex K. Jones,https://ecs.syracuse.edu/faculty-staff/alex-k-jones
Andrea Joseph,https://ecs.syracuse.edu/faculty-staff/andrea-joseph
Garrett Ethan Katz,https://ecs.syracuse.edu/faculty-staff/garret-ethan-katz
Bryan S. Kim,https://ecs.syracuse.edu/faculty-staff/bryan-s-kim
Rodrick Kuate Defo,https://ecs.syracuse.edu/faculty-staff/rodrick-kuate-defo
Saman Priyantha Kumarawadu,https://ecs.syracuse.edu/faculty-staff/saman-priyantha-kumarawadu
Lihong Lao,https://ecs.syracuse.edu/faculty-staff/lihong-lao
Kasey Laurent,https://ecs.syracuse.edu/faculty-staff/kasey-laurent
Andrew C. Lee,https://ecs.syracuse.edu/faculty-staff/andrew-c-lee
Tong Lin,https://ecs.syracuse.edu/faculty-staff/tong-lin
Xiyuan Liu,https://ecs.syracuse.edu/faculty-staff/xiyuan-liu
Min Liu,https://ecs.syracuse.edu/faculty-staff/min-liu
Yizhi Liu,https://ecs.syracuse.edu/faculty-staff/yizhi-liu
Eric M. Lui,https://ecs.syracuse.edu/faculty-staff/eric-m-lui
Aoyi Luo,https://ecs.syracuse.edu/faculty-staff/aoyi-luo-starting-fall-2023
Zhen Ma,https://ecs.syracuse.edu/faculty-staff/zhen-ma
Sinéad C. Mac Namara,https://ecs.syracuse.edu/faculty-staff/sinead-c-mac-namara
Duane L. Marcy,https://ecs.syracuse.edu/faculty-staff/duane-l-marcy
Shalabh C. Maroo,https://ecs.syracuse.edu/faculty-staff/shalabh-c-maroo
Karen Martinez Soto,https://ecs.syracuse.edu/faculty-staff/karen-martinez-soto
Joao Paulo Marum,https://ecs.syracuse.edu/faculty-staff/joao-paulo-marum
Jean-Daniel Medjo,https://ecs.syracuse.edu/faculty-staff/jean-daniel-medjo-me-biomo
Kristopher Micinski,https://ecs.syracuse.edu/faculty-staff/kristopher-micinski
Aaron Mohammed,https://ecs.syracuse.edu/faculty-staff/aaron-mohammed
Chilukuri K. Mohan,https://ecs.syracuse.edu/faculty-staff/chilukuri-k-mohan
Young B. Moon,https://ecs.syracuse.edu/faculty-staff/young-b-moon
Shikha Nangia,https://ecs.syracuse.edu/faculty-staff/shikha-nangia
Dawit Negussey,https://ecs.syracuse.edu/faculty-staff/dawit-negussey
Susan Older,https://ecs.syracuse.edu/faculty-staff/susan-older
Anupam Pandey,https://ecs.syracuse.edu/faculty-staff/anupam-pandey
Vir V. Phoha,https://ecs.syracuse.edu/faculty-staff/vir-v-phoha
Peter Plumley,https://ecs.syracuse.edu/faculty-staff/peter-plumley
Jason Pollack,https://ecs.syracuse.edu/faculty-staff/jason-pollack
Quinn Qiao,https://ecs.syracuse.edu/faculty-staff/quinn-qiao
Zhao Qin,https://ecs.syracuse.edu/faculty-staff/zhao-qin
Qinru Qiu,https://ecs.syracuse.edu/faculty-staff/qinru-qiu
Younes Ra’di,https://ecs.syracuse.edu/faculty-staff/younes-radi
Farzana Rahman,https://ecs.syracuse.edu/faculty-staff/farzana-rahman
Dacheng Ren,https://ecs.syracuse.edu/faculty-staff/dacheng-ren
Utpal Roy,https://ecs.syracuse.edu/faculty-staff/uptal-roy
Baris Salman,https://ecs.syracuse.edu/faculty-staff/baris-salman
Ashok S. Sangani,https://ecs.syracuse.edu/faculty-staff/ashok-s-sangani
Amit K. Sanyal,https://ecs.syracuse.edu/faculty-staff/amit-k-sanyal
Mehmet Sarimurat,https://ecs.syracuse.edu/faculty-staff/mehmet-sarimurat
Wanliang Shan,https://ecs.syracuse.edu/faculty-staff/wanliang-shan
Ian M. Shapiro,https://ecs.syracuse.edu/faculty-staff/ian-shapiro
Andrea Shen,https://ecs.syracuse.edu/faculty-staff/andrea-shen
Yilei Shi,https://ecs.syracuse.edu/faculty-staff/yilei-shi
Cindy Smith,https://ecs.syracuse.edu/faculty-staff/cindy-smith
J. Cole Smith,https://ecs.syracuse.edu/faculty-staff/j-cole-smith
Pranav Soman,https://ecs.syracuse.edu/faculty-staff/pranav-soman
Sucheta Soundarajan,https://ecs.syracuse.edu/faculty-staff/sucheta-soundarajan
Yiyang Sun,https://ecs.syracuse.edu/faculty-staff/yiyang-sun
Radhakrishna (Suresh) Sureshkumar,https://ecs.syracuse.edu/faculty-staff/radhakrishna-suresh-sureshkumar
Yuzhe Tang,https://ecs.syracuse.edu/faculty-staff/yuzhe-tang
Svetoslava Todorova,https://ecs.syracuse.edu/faculty-staff/svetoslava-todorova
John Trimmer,https://ecs.syracuse.edu/faculty-staff/john-trimmer
Pramod K. Varshney,https://ecs.syracuse.edu/faculty-staff/pramod-k-varshney
Senem Velipasalar,https://ecs.syracuse.edu/faculty-staff/senem-velipasalar
Joseph J. Waclawski,https://ecs.syracuse.edu/faculty-staff/joseph-j-waclawski
Theodore Walker,https://ecs.syracuse.edu/faculty-staff/theodore-walker
Li Wang,https://ecs.syracuse.edu/faculty-staff/li-wang
Yeqing Wang,https://ecs.syracuse.edu/faculty-staff/yeqing-wang
Yaoying Wu,https://ecs.syracuse.edu/faculty-staff/yaoying-wu
Edmund S. Yu,https://ecs.syracuse.edu/faculty-staff/edmund-s-yu
Pun To (Douglas) Yung,https://ecs.syracuse.edu/faculty-staff/pun-to-douglas-yung
Reza Zafarani,https://ecs.syracuse.edu/faculty-staff/reza-zafarani
Teng Zeng,https://ecs.syracuse.edu/faculty-staff/teng-zeng
Jialiu Zeng,https://ecs.syracuse.edu/faculty-staff/jialiu-zeng
Jianshun “Jensen” Zhang,https://ecs.syracuse.edu/faculty-staff/jianshun-jensen-zhang
Teng Zhang,https://ecs.syracuse.edu/faculty-staff/teng-zhang
Junzhe Zhang,https://ecs.syracuse.edu/faculty-staff/junzhe-zhang
Yi Zheng,https://ecs.syracuse.edu/faculty-staff/yi-zheng
Fernando Zigunov,https://ecs.syracuse.edu/faculty-staff/fernando-zigunov
